W_age,children,W_education,H_education,W_religion,W_working,H_occupation,Standard-of-living,Media-exposure,clusterid 
33.0,0.0,1,2,1,0,3,3,0,5 
38.0,8.0,1,2,1,1,3,3,1,5 
38.0,4.0,1,3,1,0,2,2,0,5 
45.0,7.0,1,3,1,0,1,3,0,5 
32.0,4.0,1,3,1,1,2,2,1,5 
35.0,5.0,1,2,1,1,3,3,0,5 
47.0,9.0,1,3,1,0,3,3,0,5 
21.0,4.0,1,3,1,1,3,2,0,5 
42.0,12.0,1,3,1,1,3,3,0,5 
48.0,5.0,1,3,1,1,3,2,0,5 
37.0,2.0,1,2,1,1,2,2,1,5 
47.0,7.0,1,2,1,0,3,2,0,5 
35.0,6.0,1,2,1,1,2,2,1,5 
23.0,3.0,1,2,1,1,3,2,1,5 
22.0,2.0,1,3,1,1,3,2,0,5 
35.0,5.0,1,2,1,1,2,2,1,5 
41.0,6.0,1,2,1,1,3,3,0,5 
36.0,6.0,1,3,1,1,3,2,0,5 
43.0,8.0,1,2,1,1,2,2,1,5 
28.0,4.0,1,2,1,1,2,3,0,5 
38.0,12.0,1,2,1,1,2,3,0,5 
47.0,2.0,1,2,1,1,2,3,1,5 
47.0,4.0,1,2,1,1,2,2,0,5 
49.0,5.0,1,2,1,0,2,2,1,5 
47.0,2.0,1,2,1,0,1,3,0,5 
47.0,3.0,1,2,1,1,1,3,0,5 
25.0,3.0,1,2,1,1,2,3,0,5 
32.0,6.0,1,2,0,1,2,3,0,5 
29.0,1.0,1,2,1,1,3,3,0,5 
31.0,4.0,1,2,1,1,3,3,0,5 
29.0,5.0,1,2,1,0,1,2,0,5 
26.0,3.0,1,2,1,0,3,2,0,5 
25.0,1.0,1,3,1,1,4,2,0,5 
24.0,3.0,1,2,1,1,3,2,0,5 
24.0,3.0,1,2,1,1,3,2,0,5 
42.0,4.0,1,4,1,1,1,3,0,6 
45.0,5.0,1,4,1,1,1,2,1,6 
47.0,8.0,1,4,1,1,3,3,0,6 
41.0,4.0,1,4,1,1,3,3,0,6 
28.0,2.0,1,4,1,0,2,3,0,6 
32.0,4.0,1,4,1,1,3,2,0,6 
44.0,9.0,1,4,1,1,1,2,0,6 
36.0,2.0,1,4,1,1,2,2,0,6 
36.0,1.0,1,4,1,1,3,3,0,6 
47.0,7.0,1,4,1,1,2,3,0,6 
44.0,2.0,1,4,1,1,1,3,0,6 
42.0,11.0,1,4,0,1,2,2,1,6 
25.0,2.0,1,4,1,0,3,3,1,6 
24.0,1.0,1,4,1,0,4,2,1,6 
44.0,1.0,4,4,1,0,1,4,0,7 
46.0,1.0,4,4,0,1,1,4,0,7 
39.0,1.0,4,4,1,1,1,4,0,7 
48.0,5.0,4,4,1,1,1,4,0,7 
38.0,1.0,4,4,1,0,1,4,0,7 
29.0,0.0,4,4,1,0,1,4,0,7 
40.0,2.0,4,4,0,1,1,4,0,7 
45.0,0.0,4,4,1,1,2,4,0,7 
26.0,1.0,4,4,1,1,1,4,0,7 
26.0,0.0,4,4,1,0,1,4,0,7 
31.0,0.0,4,4,1,0,1,4,0,7 
43.0,5.0,4,4,1,0,1,4,0,7 
29.0,0.0,4,4,1,0,2,4,0,7 
38.0,1.0,4,4,1,0,1,4,0,7 
49.0,6.0,4,4,0,0,1,4,0,7 
28.0,0.0,4,4,0,0,1,4,0,7 
30.0,2.0,4,4,1,1,1,4,0,7 
33.0,2.0,4,4,1,1,1,4,0,7 
35.0,3.0,4,4,0,1,1,4,0,7 
21.0,1.0,4,4,1,1,1,4,0,7 
37.0,1.0,4,4,1,1,1,4,0,7 
20.0,1.0,4,4,1,1,1,4,0,7 
33.0,3.0,4,4,1,1,1,4,0,7 
41.0,2.0,4,4,1,1,1,4,0,7 
43.0,5.0,4,4,1,1,1,4,0,7 
44.0,3.0,4,4,1,1,2,4,0,7 
35.0,2.0,4,4,1,0,2,4,0,7 
30.0,0.0,4,4,1,0,1,4,0,7 
26.0,1.0,4,4,1,1,1,4,0,7 
47.0,4.0,4,4,1,1,1,4,0,7 
34.0,2.0,4,4,1,0,1,4,0,7 
32.0,1.0,4,4,1,1,1,4,0,7 
47.0,4.0,4,4,1,1,1,4,0,7 
34.0,2.0,4,4,0,1,1,4,0,7 
23.0,2.0,4,4,1,1,1,4,0,7 
26.0,1.0,4,4,1,0,1,4,0,7 
30.0,2.0,4,4,1,1,1,4,0,7 
48.0,3.0,4,4,1,1,2,4,0,7 
22.0,0.0,4,4,1,1,1,4,0,7 
22.0,0.0,4,4,1,0,1,4,0,7 
36.0,4.0,4,4,1,1,1,4,0,7 
40.0,3.0,4,4,1,1,3,4,0,7 
47.0,2.0,4,4,1,1,1,4,0,7 
28.0,3.0,4,4,0,1,1,4,0,7 
26.0,1.0,4,4,1,1,1,4,0,7 
23.0,1.0,4,4,1,0,2,4,0,7 
40.0,2.0,4,4,1,1,3,4,0,7 
40.0,3.0,4,4,0,1,3,4,0,7 
49.0,4.0,4,4,1,1,3,4,0,7 
47.0,1.0,4,4,0,1,1,4,0,7 
30.0,3.0,4,4,1,0,2,4,0,7 
25.0,0.0,4,4,1,0,2,4,0,7 
33.0,1.0,4,4,0,0,3,4,0,7 
39.0,2.0,4,4,1,0,1,4,0,7 
44.0,3.0,4,4,1,0,1,4,1,7 
33.0,5.0,4,4,1,1,3,4,0,7 
29.0,0.0,4,4,1,0,2,4,0,7 
37.0,2.0,4,4,0,1,1,4,0,7 
35.0,4.0,4,4,1,1,1,4,0,7 
26.0,2.0,4,4,1,0,1,4,0,7 
32.0,2.0,4,4,1,1,1,4,0,7 
30.0,2.0,4,4,0,0,1,4,0,7 
39.0,4.0,4,4,1,1,1,4,0,7 
45.0,7.0,4,4,1,1,1,4,0,7 
32.0,4.0,4,4,1,1,2,4,0,7 
46.0,2.0,4,4,1,0,1,4,0,7 
32.0,2.0,4,4,0,0,1,4,0,7 
49.0,10.0,4,4,1,1,1,4,0,7 
39.0,3.0,4,4,1,1,1,4,0,7 
35.0,5.0,4,4,0,0,1,4,0,7 
31.0,1.0,4,4,1,1,1,4,0,7 
36.0,2.0,4,4,1,1,2,4,0,7 
36.0,3.0,4,4,1,1,1,4,0,7 
40.0,3.0,4,4,1,1,1,4,0,7 
46.0,4.0,4,4,1,1,1,4,0,7 
42.0,8.0,4,4,0,1,1,4,0,7 
39.0,4.0,4,4,1,0,1,4,0,7 
34.0,2.0,4,4,1,1,1,4,0,7 
36.0,3.0,4,4,1,1,1,4,0,7 
37.0,3.0,4,4,1,1,1,4,0,7 
36.0,4.0,4,4,0,1,1,4,0,7 
38.0,2.0,4,4,1,1,1,4,0,7 
31.0,3.0,4,4,0,0,4,4,0,7 
36.0,4.0,4,4,0,0,1,4,0,7 
47.0,8.0,4,4,1,1,1,4,0,7 
34.0,3.0,4,4,1,1,1,4,0,7 
21.0,1.0,4,4,1,1,1,4,0,7 
40.0,6.0,4,4,0,0,1,4,0,7 
37.0,3.0,4,4,1,1,1,4,0,7 
39.0,5.0,4,4,1,1,2,4,0,7 
48.0,4.0,4,4,0,1,1,4,0,7 
31.0,3.0,4,4,1,1,1,4,0,7 
44.0,5.0,4,4,1,0,1,4,0,7 
29.0,1.0,4,4,1,0,2,4,0,7 
33.0,4.0,4,4,1,1,1,4,0,7 
29.0,2.0,4,4,1,1,1,4,0,7 
35.0,2.0,4,4,1,0,1,4,0,7 
36.0,3.0,4,4,1,0,2,4,0,7 
32.0,2.0,4,4,1,0,1,4,0,7 
33.0,3.0,4,4,1,1,3,4,0,7 
47.0,6.0,4,4,1,0,1,4,0,7 
34.0,5.0,4,4,1,1,3,4,0,7 
27.0,3.0,4,4,1,1,1,4,0,7 
44.0,7.0,4,4,1,1,2,4,0,7 
25.0,1.0,4,4,1,1,1,4,0,7 
41.0,4.0,4,4,1,1,1,4,0,7 
24.0,1.0,4,4,1,0,1,4,0,7 
47.0,4.0,4,4,1,0,1,4,0,7 
37.0,5.0,4,4,1,1,3,4,0,7 
38.0,3.0,4,4,1,0,1,4,0,7 
27.0,1.0,4,4,0,0,1,4,0,7 
39.0,3.0,4,4,0,0,1,4,0,7 
41.0,4.0,4,4,0,0,2,4,0,7 
32.0,4.0,4,4,0,0,2,4,0,7 
41.0,4.0,4,4,0,0,2,4,0,7 
43.0,3.0,4,4,0,1,1,4,0,7 
43.0,6.0,4,4,1,1,1,4,0,7 
48.0,7.0,4,4,0,1,1,4,0,7 
24.0,1.0,4,4,1,1,1,4,0,7 
42.0,3.0,4,4,1,0,1,4,0,7 
39.0,3.0,4,4,1,1,1,4,0,7 
24.0,1.0,4,4,1,1,1,4,0,7 
29.0,2.0,4,4,1,1,3,4,0,7 
44.0,5.0,4,4,1,1,1,4,0,7 
44.0,4.0,4,4,1,1,1,4,0,7 
42.0,5.0,4,4,1,1,1,4,0,7 
44.0,3.0,4,4,1,1,1,4,0,7 
33.0,5.0,4,4,1,1,2,4,0,7 
45.0,3.0,4,4,0,1,2,4,0,7 
26.0,2.0,4,4,0,1,1,4,0,7 
35.0,3.0,4,4,0,0,3,4,0,7 
37.0,4.0,4,4,0,0,2,4,0,7 
46.0,3.0,4,4,0,0,1,4,0,7 
34.0,6.0,4,4,1,1,3,4,0,7 
37.0,4.0,4,4,1,1,1,4,0,7 
38.0,6.0,4,4,1,1,1,4,0,7 
46.0,4.0,4,4,1,1,1,4,0,7 
41.0,6.0,4,4,0,1,1,4,0,7 
41.0,7.0,4,4,1,1,2,4,0,7 
32.0,2.0,4,4,0,0,2,4,0,7 
44.0,4.0,4,4,1,1,1,4,0,7 
39.0,4.0,4,4,0,1,1,4,0,7 
39.0,5.0,4,4,1,1,1,4,0,7 
45.0,4.0,4,4,1,1,1,4,0,7 
33.0,3.0,4,4,1,1,1,4,0,7 
39.0,3.0,4,4,0,1,1,4,0,7 
44.0,3.0,4,4,1,0,1,4,0,7 
41.0,4.0,4,4,1,0,1,4,0,7 
24.0,1.0,4,4,1,0,1,4,0,7 
36.0,2.0,4,4,1,0,1,4,0,7 
29.0,2.0,4,4,1,1,3,4,0,7 
43.0,3.0,4,4,1,1,1,4,0,7 
35.0,2.0,4,4,1,1,2,4,0,7 
30.0,1.0,4,4,1,1,1,4,0,7 
33.0,5.0,4,4,1,1,1,4,0,7 
35.0,4.0,4,4,1,1,1,4,0,7 
35.0,1.0,4,4,0,1,1,4,0,7 
40.0,2.0,4,4,0,0,1,4,0,7 
36.0,4.0,4,4,0,1,1,4,0,7 
42.0,7.0,4,4,1,1,2,4,0,7 
27.0,2.0,4,4,1,1,1,4,0,7 
25.0,3.0,4,4,1,1,1,4,0,7 
43.0,3.0,4,4,1,1,1,4,0,7 
32.0,3.0,4,4,0,1,1,4,0,7 
41.0,5.0,4,4,1,1,1,4,0,7 
32.0,3.0,4,4,0,1,1,4,0,7 
46.0,4.0,4,4,1,1,1,4,0,7 
32.0,3.0,4,4,1,1,1,4,0,7 
32.0,2.0,4,4,0,0,1,4,0,7 
44.0,11.0,4,4,1,1,1,4,0,7 
24.0,2.0,4,4,1,1,1,4,0,7 
39.0,3.0,4,4,1,1,2,4,0,7 
35.0,4.0,4,4,1,1,1,4,0,7 
35.0,6.0,4,4,1,1,1,4,0,7 
44.0,8.0,4,4,1,1,2,4,0,7 
34.0,3.0,4,4,1,1,1,4,0,7 
32.0,2.0,4,4,1,0,3,4,0,7 
37.0,3.0,4,4,1,0,1,4,0,7 
32.0,3.0,4,4,1,0,1,4,0,7 
37.0,3.0,4,4,1,1,2,4,0,7 
40.0,4.0,4,4,1,1,1,4,0,7 
38.0,6.0,4,4,1,1,2,4,0,7 
36.0,4.0,4,4,1,1,1,4,0,7 
34.0,2.0,4,4,1,1,1,4,0,7 
28.0,5.0,4,4,1,1,2,4,0,7 
37.0,3.0,4,4,1,1,2,4,0,7 
35.0,2.0,4,4,1,0,1,4,0,7 
35.0,3.0,4,4,1,1,1,4,0,7 
22.0,1.0,4,4,1,0,2,4,0,7 
37.0,6.0,4,4,1,0,3,4,0,7 
23.0,2.0,4,4,1,0,2,4,0,7 
41.0,8.0,4,4,1,1,1,4,0,7 
29.0,3.0,4,4,1,0,1,4,0,7 
42.0,5.0,4,4,1,1,1,4,0,7 
27.0,2.0,4,4,1,1,3,4,0,7 
30.0,3.0,4,4,0,0,2,4,0,7 
39.0,2.0,4,4,0,1,3,4,0,7 
38.0,2.0,4,4,1,0,1,4,0,7 
43.0,5.0,4,4,1,1,1,4,0,7 
28.0,2.0,4,4,1,1,1,4,0,7 
36.0,3.0,4,4,0,0,2,4,0,7 
26.0,2.0,4,4,1,0,1,4,0,7 
41.0,5.0,4,4,1,1,1,4,0,7 
46.0,4.0,4,4,0,1,1,4,0,7 
28.0,3.0,4,4,0,0,3,4,0,7 
32.0,3.0,4,4,1,0,1,4,0,7 
32.0,4.0,4,4,1,0,1,4,0,7 
31.0,3.0,4,4,1,0,1,4,0,7 
38.0,2.0,4,4,1,1,3,4,0,7 
31.0,1.0,4,4,1,1,1,4,0,7 
30.0,2.0,4,4,1,1,1,4,0,7 
31.0,3.0,4,4,1,1,1,4,0,7 
29.0,3.0,4,4,1,1,3,4,0,7 
45.0,3.0,4,4,1,1,1,4,0,7 
33.0,2.0,4,4,1,1,2,4,0,7 
32.0,3.0,4,4,1,0,1,4,0,7 
35.0,4.0,4,4,0,0,1,4,0,7 
25.0,1.0,4,4,1,1,1,4,0,7 
31.0,3.0,4,4,1,1,4,4,0,7 
25.0,1.0,4,4,1,1,1,4,0,7 
25.0,0.0,4,4,1,0,3,4,0,7 
23.0,0.0,4,4,1,0,1,4,0,7 
49.0,1.0,4,4,1,1,3,4,0,7 
27.0,1.0,4,4,0,0,2,4,0,7 
33.0,2.0,4,4,0,1,1,4,0,7 
42.0,1.0,4,4,1,1,2,4,0,7 
48.0,4.0,4,4,0,1,1,4,0,7 
42.0,3.0,4,4,1,1,1,4,0,7 
37.0,2.0,4,4,1,1,1,4,0,7 
22.0,0.0,4,4,1,0,2,4,0,7 
25.0,1.0,4,4,1,1,1,4,0,7 
42.0,1.0,4,4,1,0,1,4,0,7 
30.0,4.0,4,4,1,1,2,4,0,7 
43.0,3.0,4,4,0,1,2,4,0,7 
49.0,6.0,4,4,0,0,1,4,0,7 
30.0,1.0,4,4,1,0,1,4,0,7 
35.0,5.0,4,4,1,1,1,4,0,7 
27.0,2.0,4,4,1,0,1,4,0,7 
26.0,3.0,4,4,1,1,1,4,0,7 
35.0,3.0,4,4,1,1,1,4,0,7 
26.0,0.0,4,4,1,1,3,4,0,7 
28.0,5.0,4,4,1,1,1,4,0,7 
42.0,3.0,4,4,1,0,1,4,0,7 
48.0,1.0,4,4,0,1,1,4,0,7 
32.0,3.0,4,4,1,1,1,4,0,7 
45.0,1.0,4,4,1,0,1,4,0,7 
45.0,1.0,4,4,1,1,1,4,0,7 
24.0,4.0,4,4,1,1,1,4,0,7 
32.0,1.0,4,4,0,1,1,4,0,7 
42.0,0.0,4,4,0,0,3,4,0,7 
28.0,3.0,4,4,0,0,1,4,0,7 
45.0,1.0,4,4,1,1,1,4,0,7 
47.0,1.0,4,4,1,1,1,4,0,7 
28.0,5.0,4,4,1,0,3,4,0,7 
27.0,3.0,4,4,1,1,1,4,0,7 
46.0,6.0,4,4,1,1,1,4,0,7 
31.0,0.0,4,4,0,0,2,4,0,7 
42.0,4.0,4,4,1,1,3,4,0,7 
35.0,3.0,4,4,1,1,1,4,0,7 
36.0,3.0,4,4,1,0,1,4,0,7 
40.0,4.0,4,4,1,1,1,4,0,7 
35.0,5.0,4,4,1,0,1,4,0,7 
45.0,3.0,4,4,1,1,1,4,0,7 
28.0,2.0,4,4,0,1,1,4,0,7 
34.0,4.0,4,4,1,1,2,4,0,7 
29.0,3.0,4,4,1,1,1,4,0,7 
41.0,8.0,4,4,1,1,1,4,0,7 
21.0,1.0,4,4,1,1,1,4,0,7 
37.0,7.0,4,4,1,1,1,4,0,7 
47.0,4.0,4,4,0,1,2,4,0,7 
25.0,1.0,4,4,1,0,1,4,0,7 
45.0,3.0,4,4,1,1,1,4,0,7 
37.0,4.0,4,4,1,1,1,4,0,7 
37.0,3.0,4,4,1,1,3,4,0,7 
35.0,5.0,4,4,1,1,2,4,0,7 
41.0,4.0,4,4,0,0,2,4,0,7 
32.0,2.0,4,4,1,0,3,4,0,7 
39.0,3.0,4,4,0,1,2,4,0,7 
42.0,3.0,4,4,1,0,1,4,0,7 
27.0,1.0,4,4,1,1,1,4,0,7 
23.0,1.0,4,4,1,0,3,4,0,7 
35.0,5.0,4,4,1,1,1,4,0,7 
48.0,3.0,4,4,0,1,1,4,0,7 
38.0,4.0,4,4,1,1,2,4,0,7 
48.0,7.0,4,4,1,0,1,4,0,7 
34.0,3.0,4,4,1,0,3,4,0,7 
42.0,4.0,4,4,0,0,2,4,0,7 
38.0,3.0,4,4,0,0,2,4,0,7 
41.0,6.0,4,4,1,1,1,4,0,7 
43.0,5.0,4,4,0,1,1,4,0,7 
41.0,4.0,4,4,0,1,1,4,0,7 
36.0,3.0,4,4,1,1,1,4,0,7 
39.0,3.0,4,4,1,0,1,4,0,7 
43.0,5.0,4,4,0,1,1,4,0,7 
31.0,5.0,4,4,1,0,1,4,0,7 
26.0,1.0,4,4,1,0,2,4,0,7 
43.0,2.0,4,4,1,1,1,4,0,7 
24.0,1.0,4,4,1,1,1,4,0,7 
44.0,5.0,4,4,1,0,1,4,0,7 
33.0,2.0,4,4,1,0,1,4,0,7 
37.0,1.0,4,4,0,1,1,4,0,7 
36.0,3.0,4,4,1,1,1,4,0,7 
28.0,1.0,4,4,1,1,2,4,0,7 
31.0,2.0,4,4,0,1,1,4,0,7 
38.0,4.0,4,4,1,0,1,4,0,7 
33.0,3.0,4,4,0,0,2,4,0,7 
36.0,3.0,4,4,1,1,2,4,0,7 
28.0,4.0,4,4,1,1,3,4,0,7 
44.0,5.0,4,4,1,1,3,4,0,7 
34.0,2.0,4,4,0,1,1,4,0,7 
31.0,4.0,4,4,1,0,3,4,0,7 
27.0,2.0,4,4,0,0,2,4,0,7 
26.0,1.0,4,4,0,0,2,4,0,7 
37.0,6.0,4,4,1,1,1,4,0,7 
27.0,1.0,4,4,1,1,1,4,0,7 
28.0,1.0,4,4,0,0,2,4,0,7 
42.0,3.0,4,4,0,1,2,4,0,7 
34.0,2.0,4,4,0,0,2,4,0,7 
37.0,5.0,4,4,0,0,2,4,0,7 
29.0,3.0,4,4,1,1,1,4,0,7 
33.0,2.0,4,4,1,0,2,4,0,7 
33.0,3.0,4,4,1,1,1,4,0,7 
49.0,7.0,4,4,0,1,2,4,0,7 
24.0,0.0,4,4,0,1,1,4,0,7 
44.0,5.0,4,4,0,1,2,4,0,7 
35.0,2.0,4,4,0,1,3,4,0,7 
27.0,1.0,4,4,0,1,3,4,0,7 
23.0,0.0,4,4,0,1,2,4,0,7 
28.0,1.0,4,4,0,1,2,4,0,7 
26.0,1.0,4,4,0,1,2,4,0,7 
36.0,4.0,4,4,0,1,2,4,0,7 
36.0,3.0,4,4,0,1,2,4,0,7 
37.0,3.0,4,4,0,1,3,4,0,7 
30.0,1.0,4,4,0,1,2,4,0,7 
41.0,5.0,4,4,0,1,2,4,0,7 
48.0,6.0,4,4,0,1,2,4,0,7 
38.0,4.0,4,4,0,1,3,4,0,7 
31.0,3.0,4,4,0,1,2,4,0,7 
25.0,1.0,4,4,0,1,1,4,0,7 
27.0,1.0,4,4,0,1,3,4,0,7 
36.0,3.0,4,4,0,1,3,4,0,7 
35.0,3.0,4,4,0,1,3,4,0,7 
28.0,2.0,4,4,0,1,2,4,0,7 
37.0,3.0,4,4,0,1,3,4,0,7 
36.0,3.0,4,4,0,1,2,4,0,7 
25.0,0.0,4,4,0,1,2,4,0,7 
23.0,1.0,4,4,0,1,1,4,0,7 
33.0,3.0,4,4,0,1,2,4,0,7 
37.0,4.0,4,4,0,1,2,4,0,7 
42.0,5.0,4,4,0,1,2,4,0,7 
36.0,3.0,4,4,0,1,3,4,0,7 
23.0,2.0,4,4,1,1,2,4,0,7 
22.0,0.0,4,4,1,1,2,4,0,7 
23.0,1.0,4,4,1,1,3,4,0,7 
25.0,2.0,4,4,1,1,2,4,0,7 
24.0,1.0,4,4,1,1,3,4,0,7 
17.0,1.0,4,4,1,1,2,4,0,7 
26.0,4.0,4,4,1,1,3,4,0,7 
23.0,2.0,4,4,1,1,3,4,0,7 
26.0,3.0,4,4,1,1,3,4,0,7 
19.0,2.0,4,4,1,1,1,4,0,7 
19.0,1.0,4,4,1,1,2,4,0,7 
27.0,3.0,4,4,1,1,3,4,1,7 
25.0,2.0,4,4,1,1,2,4,0,7 
25.0,1.0,4,4,1,1,3,4,0,7 
21.0,1.0,4,4,1,1,3,4,0,7 
24.0,1.0,4,4,1,1,2,4,0,7 
24.0,2.0,4,4,1,1,2,4,0,7 
22.0,1.0,4,4,1,1,2,4,0,7 
22.0,2.0,4,4,1,1,3,4,0,7 
21.0,1.0,4,4,0,1,2,4,0,7 
48.0,16.0,4,4,1,1,1,4,0,7 
20.0,0.0,4,4,0,0,2,4,0,7 
19.0,0.0,4,4,0,1,3,4,0,7 
42.0,1.0,2,4,1,0,3,3,0,8 
38.0,2.0,3,4,1,1,2,3,0,8 
40.0,8.0,2,4,1,1,3,3,0,8 
26.0,0.0,2,4,1,0,1,2,0,8 
48.0,2.0,2,4,1,1,1,3,0,8 
40.0,8.0,3,4,1,1,3,3,0,8 
36.0,5.0,2,4,1,1,2,3,0,8 
27.0,1.0,2,4,1,0,1,3,0,8 
27.0,3.0,2,4,1,0,3,2,0,8 
23.0,2.0,2,4,1,1,3,3,0,8 
44.0,4.0,3,4,1,0,1,3,0,8 
44.0,1.0,3,4,1,1,1,3,0,8 
26.0,2.0,3,4,1,1,3,3,0,8 
32.0,4.0,2,4,1,1,3,2,0,8 
31.0,3.0,3,4,1,0,3,2,0,8 
32.0,2.0,2,4,1,1,3,3,0,8 
22.0,0.0,2,4,1,1,3,3,0,8 
31.0,0.0,3,4,1,0,2,3,0,8 
27.0,0.0,3,4,1,1,3,3,0,8 
26.0,1.0,2,4,1,1,1,3,0,8 
31.0,5.0,2,4,1,1,3,2,0,8 
23.0,4.0,2,4,1,1,3,3,0,8 
47.0,3.0,3,4,1,1,2,3,0,8 
32.0,5.0,2,4,1,1,2,3,0,8 
38.0,5.0,2,4,1,1,3,3,0,8 
29.0,4.0,3,4,1,0,1,3,0,8 
37.0,3.0,3,4,1,1,1,3,0,8 
44.0,4.0,2,4,1,1,3,3,0,8 
26.0,2.0,2,4,1,1,1,3,0,8 
24.0,2.0,2,4,1,1,3,3,0,8 
29.0,3.0,2,4,1,0,3,3,0,8 
38.0,3.0,3,4,1,1,3,2,0,8 
29.0,3.0,2,4,1,1,3,3,0,8 
39.0,2.0,3,4,1,1,1,3,0,8 
34.0,4.0,2,4,1,1,3,3,0,8 
34.0,7.0,2,4,1,1,2,3,0,8 
27.0,1.0,2,4,1,1,3,3,0,8 
33.0,4.0,3,4,1,1,3,3,0,8 
48.0,3.0,3,4,1,1,2,3,0,8 
30.0,4.0,3,4,1,1,3,3,0,8 
27.0,4.0,3,4,1,1,3,3,0,8 
25.0,3.0,2,4,1,1,3,3,0,8 
25.0,3.0,2,4,1,1,3,2,0,8 
26.0,2.0,3,4,1,1,3,3,0,8 
37.0,3.0,2,4,1,1,2,3,0,8 
26.0,3.0,3,4,1,1,3,3,0,8 
29.0,2.0,2,4,1,1,3,2,0,8 
24.0,2.0,3,4,1,1,3,3,0,8 
29.0,4.0,3,4,1,0,1,3,0,8 
22.0,1.0,2,4,1,1,3,3,0,8 
45.0,2.0,3,4,0,1,3,3,0,8 
31.0,4.0,3,4,1,0,3,3,0,8 
31.0,2.0,3,4,1,1,3,3,0,8 
38.0,3.0,2,4,1,1,1,3,0,8 
41.0,1.0,2,4,1,1,2,3,0,8 
28.0,0.0,3,4,1,0,1,3,0,8 
24.0,0.0,3,4,1,0,2,3,0,8 
24.0,1.0,3,4,1,0,3,3,0,8 
45.0,0.0,3,4,1,1,1,3,0,8 
45.0,8.0,2,4,1,1,2,3,0,8 
45.0,0.0,3,4,1,1,1,3,0,8 
27.0,0.0,3,4,1,0,3,3,0,8 
47.0,2.0,2,4,1,1,3,2,1,8 
27.0,0.0,3,4,1,1,3,3,0,8 
48.0,8.0,3,4,1,1,3,3,0,8 
26.0,2.0,3,4,1,1,3,3,0,8 
34.0,4.0,3,4,1,1,3,3,0,8 
26.0,3.0,2,4,1,1,1,3,0,8 
24.0,3.0,2,4,1,1,3,3,0,8 
29.0,4.0,2,4,1,1,3,2,0,8 
29.0,5.0,3,4,1,1,3,3,0,8 
28.0,7.0,2,4,1,1,3,3,0,8 
30.0,3.0,3,4,1,1,3,3,0,8 
25.0,2.0,3,4,1,1,3,3,0,8 
34.0,6.0,2,4,1,1,3,3,0,8 
37.0,4.0,2,4,1,0,2,3,0,8 
25.0,3.0,2,4,1,1,1,3,0,8 
21.0,0.0,3,4,1,1,2,3,0,8 
21.0,1.0,3,4,1,1,2,3,0,8 
21.0,0.0,3,4,1,1,1,3,0,8 
31.0,2.0,3,4,1,1,1,2,1,8 
25.0,0.0,3,4,1,1,1,3,0,8 
25.0,1.0,2,4,1,1,2,2,0,8 
35.0,5.0,3,4,1,0,2,2,0,8 
40.0,1.0,3,4,1,1,1,2,0,8 
26.0,3.0,3,4,1,1,3,2,0,8 
27.0,2.0,3,4,1,0,2,2,0,8 
28.0,0.0,3,4,1,1,3,2,0,8 
19.0,1.0,3,4,1,1,2,3,0,8 
49.0,6.0,2,4,0,1,2,3,0,8 
23.0,2.0,3,4,1,0,2,3,0,8 
35.0,1.0,3,4,0,1,2,3,0,8 
22.0,2.0,3,4,1,1,2,3,0,8 
16.0,1.0,3,4,1,1,3,3,0,8 
38.0,5.0,2,4,0,1,2,2,0,8 
25.0,3.0,3,4,1,1,2,3,0,8 
20.0,1.0,3,4,1,1,3,2,0,8 
32.0,7.0,3,4,0,1,1,3,0,8 
47.0,11.0,3,4,1,0,2,3,0,8 
35.0,5.0,3,4,1,0,1,3,1,8 
33.0,5.0,3,4,0,1,3,3,0,8 
43.0,13.0,2,4,1,1,2,3,0,8 
31.0,4.0,3,4,1,1,1,3,0,8 
36.0,7.0,3,4,1,1,2,2,0,8 
41.0,5.0,3,4,1,1,1,3,0,8 
43.0,5.0,3,4,1,1,3,2,1,8 
34.0,2.0,3,4,0,1,2,3,0,8 
35.0,3.0,3,4,1,1,2,2,0,8 
32.0,5.0,3,4,1,1,1,2,0,8 
40.0,5.0,3,4,1,1,1,2,0,8 
20.0,2.0,3,4,1,1,1,3,0,8 
34.0,4.0,3,4,1,1,1,3,0,8 
27.0,2.0,3,4,1,1,3,2,0,8 
19.0,1.0,2,4,1,1,2,3,0,8 
23.0,1.0,3,4,1,1,2,3,0,8 
26.0,4.0,3,4,1,1,2,3,0,8 
22.0,3.0,3,4,1,1,2,3,0,8 
30.0,3.0,3,4,1,1,2,3,0,8 
40.0,6.0,3,4,1,1,1,3,0,8 
28.0,2.0,3,4,1,1,2,3,0,8 
29.0,5.0,3,4,1,1,1,2,0,8 
26.0,2.0,3,4,1,1,1,3,0,8 
21.0,2.0,3,4,1,1,3,3,0,8 
29.0,3.0,3,4,1,1,3,2,0,8 
38.0,7.0,3,4,1,1,3,2,0,8 
21.0,1.0,3,4,1,1,3,2,0,8 
22.0,1.0,3,4,1,1,3,3,0,8 
33.0,6.0,3,4,1,1,3,2,0,8 
30.0,2.0,3,4,1,1,1,2,0,8 
27.0,2.0,3,4,1,1,1,3,0,8 
32.0,4.0,3,4,1,1,3,2,0,8 
24.0,4.0,3,4,1,1,2,3,0,8 
26.0,3.0,3,4,1,1,3,2,0,8 
20.0,0.0,3,4,1,1,3,3,0,8 
43.0,10.0,3,4,1,1,3,3,0,8 
